ID;KEY;FR;EN;SP
0;DEFAULT_KEY;0_DEFAULT_KEY_FR;0_DEFAULT_KEY_EN;0_DEFAULT_KEY_SP
1;OTHER_KEY;0_OTHER_KEY_FR;0_OTHER_KEY_EN;0_OTHER_KEY_SP
2;HECAT01_P0;<squiggle=2.5|3>Bonjou…<p=0.5>oh,<p=0.25> c'est toi.<p=0.5></squiggle> ;<squiggle=2.5|3>Hell...<p=0.5>oh,<p=0.25> it's you.<p=0.5></squiggle> ;Hola ! Qual es la keketa de hoy
3;HECAT01_P1_CHOIX1;<squiggle=2.5|3>Oh,<p=0.25> comme c'est attentionné.<p=0.5> Tu es vraiment cartésien de nature.<p=0.5></squiggle> ;<squiggle=2.5|3>Oh,<p=0.25> how thoughtful.<p=0.5> You really are Cartesian by nature.<p=0.5></squiggle> ;
4;HECAT01_P1_CHOIX2;<squiggle=2.5|3>Moi aussi je dois avouer.<p=0.5> Contrairement à Marc Aurèle,<p=0.25> tu ne m'as pas laissé de marbre.<p=0.5></squiggle> ;<squiggle=2.5|3>Me too I must confess.<p=0.5> Unlike Marcus Aurelius,<p=0.25> you didn't leave me cold.<p=0.5></squiggle> ;
;HECAT01_P1_CHOIX3;<squiggle=2.5|3>Mon...<p=0.5>gaté ?<p=0.5> Je ne sais pas ce que c'est,<p=0.25> surement un surnom.<p=0.5></squiggle> ;<squiggle=2.5|3>My...<p=0.5>spat?<p=0.5>I don't know what it is,<p=0.25> probably a nickname.<p=0.5></squiggle> ;
;HECAT01_P2;<squiggle=2.5|3>Et sinon,<p=0.25> tu as eu le temps de découvrir le reste des enfers ?<p=0.5></squiggle> ;<squiggle=2.5|3>And if not,<p=0.25>have you had time to discover the rest of the underworld?<p=0.5></squiggle> ;
;HECAT01_P3_CHOIX1;<squiggle=2.5|3>Je te demande pardon ?<p=0.5> Ce genre de langage me répugne.<p=0.5> Ne me prend pas pour n'importe quel illettré de démon.<p=0.5></squiggle> ;<squiggle=2.5|3>I beg your pardon?<p=0.5>This kind of language repulses me.<p=0.5>Don't take me for just any illiterate demon.<p=0.5></squiggle> ;
;HECAT01_P3_CHOIX2;<squiggle=2.5|3>Que de belle paroles.<p=0.5> Tu m'impressionnera toujours.<p=0.5> Tes mots me touchent en plein cœur.<p=0.5></squiggle> ;<squiggle=2.5|3>What beautiful words.<p=0.5>You will always impress me.<p=0.5>Your words touch my heart.<p=0.5></squiggle> ;
;HECAT01_P3_CHOIX3;<squiggle=2.5|3>Hum...<p=0.5>Pourrais je savoir qui as tu vus ?<p=0.5></squiggle> ;<squiggle=2.5|3>Hum...<p=0.5>Could I ask who you've seen?<p=0.5></squiggle> ;
;HECAT01_P4_CHOIX1;<squiggle=2.5|3>Je pense que tu ne sais pas à qui tu as à faire.<p=0.5> Je suis le démon du savoir,<p=0.25> si je veut je peut te faire découvrir la souffrance éternel.<p=0.5> Je te laisse partir tant que je suis encore clément.<p=0.5> Ne remet plus jamais les pieds ici.<p=0.5></squiggle> ;<squiggle=2.5|3>I don't think you know who you're dealing with.<p=0.5>I'm the demon of knowledge,<p=0.25>if I want I can introduce you to eternal suffering.<p=0.5>I'll let you go while I'm still merciful.<p=0.5>Don't ever set foot in here again.<p=0.5></squiggle> ;
;HECAT01_P4_CHOIX2;<squiggle=2.5|3>Oh...<p=0.5>je m'excuse...<p=0.5>je ne suis pas très bon pour déceler les émotions des gens.<p=0.5> Que puis-je faire pour que tu me pardonne ?<p=0.5></squiggle> ;<squiggle=2.5|3>Oh...<p=0.5>I apologize...<p=0.5>I'm not very good at detecting people's emotions.<p=0.5>What can I do to make you forgive me?<p=0.5></squiggle> ;
;HECAT01_P4_CHOIX3;<squiggle=2.5|3>Ah bon ?<p=0.5> inspiré a quel point ?<p=0.5></squiggle> ;<squiggle=2.5|3>Ah really?<p=0.5>how inspired are you?<p=0.5></squiggle> ;
;HECAT01_P4_CHOIX4;<squiggle=2.5|3>Dis donc,<p=0.25> comme tu vas vite...<p=0.5>je n'ai pas l'habitude de ce genre de relation...<p=0.5></squiggle> ;<squiggle=2.5|3>So,<p=0.25>how fast you go...<p=0.5>I'm not used to this kind of relationship...<p=0.5></squiggle> ;
;HECAT01_P4_CHOIX5;<squiggle=2.5|3>Oh je vois.<p=0.5> J'apprécie bien Müller,<p=0.25> c'est un homme intelligent avec qui il est bon de parler,<p=0.25> même si son apparence laisse à désirer.<p=0.5></squiggle> ;<squiggle=2.5|3>Oh I see.<p=0.5>I like Müller,<p=0.25>he's an intelligent man who's good to talk to,<p=0.25>even if his appearance leaves something to be desired.<p=0.5></squiggle> ;
;HECAT01_P4_CHOIX6;<squiggle=2.5|3>Effectivement,<p=0.25> sa beauté n'a d'égale que son appétit morbide pour la dépravation.<p=0.5></squiggle> ;<squiggle=2.5|3>Effectively,<p=0.25> his beauty is matched only by his morbid appetite for depravity.<p=0.5></squiggle> ;
;HECAT01_P4_CHOIX7;<squiggle=2.5|3>Oui je vois ça,<p=0.25> vous empestez la vieille femme.<p=0.5> Cette mégère me rend barge.<p=0.5></squiggle> ;<squiggle=2.5|3>Yes I can see that,<p=0.25>you reek of old woman.<p=0.5>This shrew is driving me nuts.<p=0.5></squiggle> ;
;HECAT01_P5_CHOIX1;<squiggle=2.5|3>heu...<p=0.5>je....<p=0.5>je veut bien me laisser tenter...<p=0.5></squiggle> ;<squiggle=2.5|3>heu...<p=0.5>je....<p=0.5>I'm willing to indulge...<p=0.5></squiggle> ;
;HECAT01_P5_CHOIX2;<squiggle=2.5|3>hum...<p=0.5>je te remercie.<p=0.5> Tu es quelqu'un de bien.<p=0.5> Je vais cependant devoir fermer boutiques quelques temps.<p=0.5> Je pars pour un long voyage.<p=0.5> J'espère pouvoir te revoir à mon retour.<p=0.5> Prend soin de toi.<p=0.5></squiggle> ;<squiggle=2.5|3>hum...<p=0.5>I thank you.<p=0.5>You're a good person.<p=0.5>I'm going to have to close stores for a while though.<p=0.5>I'm off on a long trip.<p=0.5>I hope to see you again when I get back.<p=0.5>Take care of yourself.<p=0.5></squiggle> ;
;HECAT01_P5_CHOIX3;<squiggle=2.5|3>Disons...<p=0.5>qu'il a été marqué par la vie.<p=0.5> Il a participer à plus de guerre que tu ne peut l'imaginer.<p=0.5> C'était un tueur sanguinaire.<p=0.5> En venant ici,<p=0.25> il a du revivre toutes ses batailles 1000 fois,<p=0.25> tant et si bien qu'il a juré ne plus jamais faire de mal à quiconque.<p=0.5> </squiggle> ;<squiggle=2.5|3>Let's say...<p=0.5>he was marked by life.<p=0.5>He participated in more wars than you can imagine.<p=0.5>He was a bloodthirsty killer.<p=0. 5> By coming here,<p=0.25> he must have relived all his battles 1000 times,<p=0.25> so much so that he vowed never to hurt anyone again.<p=0.5> </squiggle> ;
;HECAT01_P5_CHOIX3_2;<squiggle=2.5|3>Il ne supporte pas qu'on voit son visage d'ailleurs,<p=0.25> cela lui rappelle trop qui il a étais.<p=0.5></squiggle> ;<squiggle=2.5|3>He can't stand anyone seeing his face for that matter,<p=0.25>it reminds him too much of who he was.<p=0.5></squiggle>;
;HECAT01_P5_CHOIX4;<squiggle=2.5|3>Son histoire est bien triste.<p=0.5> Jadis archange du Paradis,<p=0.25> respectée par ses paires, vénérée par les hommes.<p=0.5> Mais malheureusement,<p=0.25> son désir de découverte prit le pas sur sa vertu.<p=0.5></squiggle> ;<squiggle=2.5|3>Her story is a sad one.<p=0.5> Once archangel of Paradise,<p=0.25> respected by her peers, revered by men.<p=0.5> But sadly,<p=0.25> her desire for discovery overrode her virtue.<p=0.5></squiggle> ;
;HECAT01_P5_CHOIX4_2;<squiggle=2.5|3>Elle commit un acte charnel,<p=0.25> avec une jeune pharaone de l'ancienne Égypte.<p=0.5> Elle l'a aimée,<p=0.25> et cela l'a détruit.<p=0.5> Condamnée maintenant à une faim insatiable,<p=0.25> elle assouvit ses pulsions,<p=0.25> sans doute pour oublier qui elle était.<p=0.5></squiggle> ;<squiggle=2.5|3>She committed a carnal act,<p=0.25> with a young pharaoh from ancient Egypt.<p=0.5> She loved her,<p=0.25> and it destroyed her.<p=0.5> Condemned now to insatiable hunger,<p=0.25> she indulged her urges,<p=0.25> no doubt to forget who she was.<p=0.5></squiggle> ;
;HECAT01_P5_CHOIX4_2;<squiggle=2.5|3>Elle l'a aimée, et cela l'a détruit.<p=0.5> Condamnée maintenant à une faim insatiable, elle assouvit ses pulsions, sans doute pour oublier qui elle était.<p=0.5></squiggle> ;<squiggle=2.5|3>She loved her, and it destroyed her.<p=0.5>Condemned now to insatiable hunger, she indulges her urges, no doubt to forget who she was.<p=0.5></squiggle> ;
;HECAT01_P5_CHOIX5;<squiggle=2.5|3>Cela est normal.<p=0.5> Elle fut jadis reine d'une certaine civilisation.<p=0.5> Mais cette dernière était tombé éperdument amoureuse d'un être surnaturel.<p=0.5></squiggle> ;<squiggle=2.5|3>This is normal.<p=0.5> She was once queen of a certain civilization.<p=0.5> But the latter had fallen madly in love with a supernatural being.<p=0.5></squiggle> ;
;HECAT01_P5_CHOIX5_2;<squiggle=2.5|3>Mais la majesté fût dupé.<p=0.5> Là ou elle croyez trouver enfin l'amour,<p=0.25> elle ne découvrit que haine et trahison.<p=0.5> Elle sombra dans la folie,<p=0.25> et finit ici. Une triste histoire pour une triste femme.<p=0.5></squiggle> ;<squiggle=2.5|3>But the majesty was fooled.<p=0.5> Where she thought she'd find love at last,<p=0.25> she discovered only hatred and betrayal.<p=0.5> She sank into madness,<p=0.25> and ended up here. A sad story for a sad woman.<p=0.5></squiggle> ;
;HECAT01_P6_CHOIX1;<squiggle=2.5|3>En effet.<p=0.5> Pardon d'être si brusque,<p=0.25> je suis quelqu'un qui aime vivre sur le moment présent.<p=0.5> Un peu comme Platon.<p=0.5> J'espère que nos chemins se recroiseront.<p=0.5> Adieu,<p=0.25> peut être.<p=0.5></squiggle> ;<squiggle=2.5|3> Indeed.<p=0.5> Sorry to be so curt,<p=0.25> I'm someone who likes to live in the moment.<p=0.5> A bit like Plato.<p=0.5> I hope our paths cross again.<p=0.5> Farewell,<p=0.25> maybe.<p=0.5></squiggle>;
;HECAT01_P6_CHOIX2;<squiggle=2.5|3>Quelle belle référence.<p=0.5> En effet,<p=0.25> Müller est un homme qui a beaucoup souffert.<p=0.5> Il mérite le repos.<p=0.5></squiggle> ;<squiggle=2.5|3>What a fine reference.<p=0.5>Indeed,<p=0.25> Müller is a man who has suffered much.<p=0.5>He deserves rest.<p=0.5></squiggle> ;
;HECAT01_P6_CHOIX3;<squiggle=2.5|3>En effet,<p=0.25> toujours aussi habile pour cerner les personnes. Cette jeune femme ne peut être sauvé,<p=0.25> elle faut d'abord qu'elle se trouve elle même.<p=0.5></squiggle> ;<squiggle=2.5|3>Indeed,<p=0.25> always so adept at pinning people down. This young woman cannot be saved,<p=0.25> she must first find herself.<p=0.5></squiggle> ;
;HECAT01_P6_CHOIX4;<squiggle=2.5|3>Certainement pas.<p=0.5> Je n'apprécie guère cette femme.<p=0.5> Va donc lui demander toit même, je n'ai plus rien à te dire.<p=0.5></squiggle> ;<squiggle=2.5|3>Certainly not.<p=0.5> I don't much like this woman.<p=0.5> Why don't you go ask her yourself, I've got nothing more to say to you.<p=0.5></squiggle> ;
;HECAT01_P7;<squiggle=2.5|3>Je te remercie également.<p=0.5> Grâce à toi,<p=0.25> j'ai plus découvrir que moi aussi je mérite quelqu'un qui m'aime vraiment.<p=0.5> Je te souhaite bonne chance pour tes conquêtes,<p=0.25> je vais fermer boutique quelque temps.<p=0.5> Adieu,<p=0.25> je m'en chercher mon amour platonique.<p=0.5></squiggle> ;<squiggle=2.5|3>I thank you too.<p=0.5>Thanks to you,<p=0.25>I've discovered more that I too deserve someone who really loves me.<p=0.5>I wish you good luck with your conquests,<p=0.25>I'm going to close up store for a while.<p=0.5>Farewell,<p=0.25>I'm off to look for my platonic love.<p=0.5></squiggle>;
