ID;KEY;FR;EN;SP
0;DEFAULT_KEY;0_DEFAULT_KEY_FR;0_DEFAULT_KEY_EN;0_DEFAULT_KEY_SP
1;OTHER_KEY;0_OTHER_KEY_FR;0_OTHER_KEY_EN;0_OTHER_KEY_SP
;LILITH01_P0_INTRO;Jeune homme, pourquoi avez-vous pénétré ma salle de classe ?;Young man, why have you entered my classroom?;Hola ! Qual es la keketa de hoy
;LILITH01_P1_CHOIX1;MADAME ? Je ne suis pas si vieille, j'ai encore mes formes.;MADAME? I'm not that old, I still have my shape.;
;LILITH01_P1_CHOIX2;Eh bien, tu ne perd pas ton temps dis moi. J'espère que tu as le cœur bien accroché pour oser me parler sur ce ton. ;Well, you're not wasting your time, tell me. I hope you have the heart to dare speak to me in that tone. ;
;LILITH01_P2_CHOIX1;Pffff... décidément, tu n'as vraiment rien à faire ici. Hors de ma vue avant que je ne t'étrangle.;Pffff... you really don't belong here. Get out of my sight before I strangle you.;
;LILITH01_P2_CHOIX2;Ton corps est pas mal non plus, avec tout ces muscles saillants...;Your body's not bad either, with all those bulging muscles...;
;LILITH01_P2_CHOIX3;Tu vas en découvrir bien plus que 50…;You're going to find out a lot more than 50...;
;LILITH01_P2_CHOIX4;hum...tu as raisons, si tu n'es pas près à risquer ta vie, cela ne vaut pas la peine...;um...you're right, if you're not prepared to risk your life, it's not worth it...;
;LILITH01_P3_CHOIX1;On fait le rebelle ? Je vais t'apprendre ce que je fait au jeunes récalcitrants.;Going rogue? I'll teach you what I do to recalcitrant youngsters.;
;LILITH01_P3_CHOIX2;J'aime ta fougue. Dis moi, qu'est ce que tu préfères que je te fasse subir ?;I like your spirit. Tell me, what would you rather I put you through?;
;LILITH01_P4_CHOIX1;Eh bien je t'ai mal jugé. Je cela te serve de leçons, jeune garnement.;Well, I've misjudged you. Let this be a lesson to you, you young rascal.;
;LILITH01_P4_CHOIX2;Torture psychologique ? J'aime ça *s'approche et susurre des mots inimaginable à votre oreille*;Psychological torture? I like it *approaches and whispers unimaginable words in your ear*.;
;LILITH01_P4_CHOIX3;Voila qui est tentant *s'approche et griffe son torse, déchirant sa chemise*;That's tempting *approaches and scratches his chest, tearing his shirt*.;
;LILITH01_P4_CHOIX4;Houlà, je pense qu'on va s'arrêter là, tu es clairement trop atteint pour moi. Repasse quand tu te sera calmé.;I think we'll stop here, you're clearly too far gone for me. Come back when you've calmed down.;
;LILITH01_P5;Tout cela est follement excitant, mais gardons en un peu pour plus tard. Reviens quand tu veux, je te ferai découvrir le 7ème ciel, voir plus...;This is all wildly exciting, but let's save some for later. Come back any time and I'll take you to 7th heaven and beyond...;
