ID;KEY;FR;EN;SP
0;DEFAULT_KEY;0_DEFAULT_KEY_FR;0_DEFAULT_KEY_EN;0_DEFAULT_KEY_SP
1;OTHER_KEY;0_OTHER_KEY_FR;0_OTHER_KEY_EN;0_OTHER_KEY_SP
;LILITH2_P0_INTRO;Ho, encore toi. Tu reviens pour une nouvelle leçon j'imagine.;Oh, you again. Back for another lesson, I expect.;Hola ! Qual es la keketa de hoy
;LILITH2_P1_CHOIX1;Qui t'a permis de me tutoyer, chose ?;Who gave you permission to be on first-name terms with me, thing?;
;LILITH2_P1_CHOIX2;Quel excitation...tu devait vraiment te languir de ma présence.;What a thrill...you must really be pining for me.;
;LILITH2_P1_CHOIX3;Rooooo...pas encore. Vous les humains vous attachez vraiment trop d'importance au sentiments.;Rooooo...not again. You humans really do attach too much importance to feelings.;
;LILITH2_P2_CHOIX1;Pas d'impatience, il ne faut pas brusquer les choses.;Don't be impatient, you mustn't rush things.;
;LILITH2_P2_CHOIX2;Comment ça ? Qu'est ce que tu veut dire ?;What do you mean? What do you mean?;
;LILITH2_P3_CHOIX1;C'est bien. Maintenant aboie.;Good girl. Now bark.;
;LILITH2_P3_CHOIX2;MAIS T'ES UN MALADE ! UN MALADE !;YOU'RE SICK! SICK!;
;LILITH2_P3_CHOIX3;TU VEUT RIRE ?! DIS MOI TOUT DE SUITE OU JE TE TRUCIDE !;ARE YOU KIDDING?! TELL ME RIGHT NOW OR I'LL KILL YOU!;
;LILITH2_P4_CHOIX1;*le fouette* TU NE M'A PAS COMPRIS CHIEN ?? ABOIE !;*whips him* YOU DIDN'T UNDERSTAND ME DOG?? ABOY!;
;LILITH2_P4_CHOIX2;Tu ferais bien, oui.;You'd better, yes.;
;LILITH2_P5_CHOIX1;Bon garçon. Maintenant, rampe devant moi.;Good boy. Now crawl in front of me.;
;LILITH2_P5_CHOIX2;Qui ta raconté ça ?;Who told you that?;
;LILITH2_P5_CHOIX21;Ce vicieux démon. Il ne paie rien pour attendre.;This wicked demon. He'll pay for it soon enough.;
;LILITH2_P6_CHOIX1;Tu te rebelles c'est ça ? Vilain garçon ! *le fouette*;You're rebelling, aren't you? Naughty boy! *whip him*;
;LILITH2_P6_CHOIX2;Bien, bon toutou. Approche toi.;Good, good boy. Come closer.;
;LILITH2_P6_CHOIX3;Je...je ne suis plus celle que tu décris...J'ai changé…;I...I'm not who you say I am...I've changed...;
;LILITH2_P6_CHOIX4;Je ferai ce que je veut ! Et toi, je te conseil de déguerpir en vitesse avant que je ne te tue !;I'll do what I want! And as for you, I suggest you vanish quickly before I decide to end you!;
;LILITH2_P7_CHOIX1;Nous allons bien nous amuser…;We're going to have so much fun...;
;LILITH2_P7_CHOIX2;Je ne sais pas...je ne sais plus... je me sens perdu...;I don't know...I don't know anymore...I feel lost...;
;LILITH2_P8;...tu es la seule personne qui ne m'ai jamais dis ça...;...you're the only person who's never said that to me...;
;LILITH2_P9;Tait-toi et embrasse moi.;Shut up and kiss me.;
;LILITH2_P10;*GROS BISOUS*;*BIG KISS*;
