ID;KEY;FR;EN;SP
0;DEFAULT_KEY;0_DEFAULT_KEY_FR;0_DEFAULT_KEY_EN;0_DEFAULT_KEY_SP
1;OTHER_KEY;0_OTHER_KEY_FR;0_OTHER_KEY_EN;0_OTHER_KEY_SP
2;NOHA02_P0_INTRO1;<mirage=3|2>Oh trésor,<p=0.25>  vous êtes revenu !<p=0.5>  Ca pour une surprise ! </mirage>;<mirage=3|2>Oh honey,<p=0.25>you're back!<p=0.5> Now that's for a surprise! </mirage>;Hola ! Qual es la keketa de hoy
3;NOHA02_P0_INTRO2;<mirage=3|2>Bonjour,<p=0.25>  vous.<p=0.5>  De retour à la prière à ce que je vois... </mirage>;<mirage=3|2>Hello,<p=0.25> you.<p=0.5> Back to praying I see.... </mirage>;
4;NOHA02_P0_INTRO3;<mirage=3|2>Oh misère,<p=0.25>  le retour du jeune insolent,<p=0.25>  quelle punition de m'imposer cette rencontre...</mirage>;<mirage=3|2>Oh misery,<p=0.25> the return of the insolent youngster,<p=0.25> what a punishment to impose this meeting on me...</mirage>;
4;NOHA02_P2_DIALOGUE1;"<mirage=3|2>Oh...<p=0.5>  Mon ange, ""demoiselle"",<p=0.25>  je ne suis plus si jeune vous savez...<p=0.5>  Vous n'essayez quand même de me séduire ?</mirage>";"<mirage=3|2>Oh...<p=0.5> My angel, ""damsel"",<p=0.25> I'm not so young anymore you know...<p=0.5> You're not trying to seduce me after all?</mirage>";
5;NOHA02_P2_DIALOGUE2;<mirage=3|2>Oh...<p=0.5>  trésor...<p=0.5>  Vous savez parler aux femmes de mon acabit !<p=0.5>  Je suis tout tout ouïe, que voulez vous me dire ?</mirage>;<mirage=3|2>Oh...<p=0.5> treasure...<p=0.5> You know how to talk to women of my ilk!<p=0.5> I'm all ears, what do you want to tell me?</mirage>;
6;NOHA02_P2_DIALOGUE3;<mirage=3|2>Et pour une bonne raison trésor,<p=0.25>  vous n'avez aucune tenue quand vous vous adressez à une femme de mon acabit ! </mirage>;<mirage=3|2>And for a good reason treasure,<p=0.25>you have no manners when addressing a woman of my ilk! </mirage>;
7;NOHA02_P2_DIALOGUE31;<mirage=3|2>Mais nous pouvons tenter de rattraper ça...<p=0.5>  Que voulez vous aujourd'hui ?</mirage>;<mirage=3|2>But we can try to make up for it...<p=0.5>What do you want today?</mirage>;
8;NOHA02_P4_DIALOGUE1;<mirage=3|2>Oh !<p=0.5>  Vous êtes plutôt à mon gout vous savez ?!<p=0.5>  Malheureusement,<p=0.25>  j'ai vécu des choses,<p=0.25>  j'ai passé l'âge des relations frivoles...<p=0.5>  Je n'ai plus la force de donner de l'amour.</mirage>;<mirage=3|2>Oh!!<p=0.5>You're rather to my taste you know?!<p=0.5> Unfortunately,<p=0.25>I've been through things,<p=0.25>I'm past the age of frivolous relationships...<p=0.5>I no longer have the strength to give love.</mirage>;
9;NOHA02_P4_DIALOGUE2;<mirage=3|2>Oh...<p=0.5> Evidemment...<p=0.5> Pour quoi d'autre après tout ?</mirage>;<mirage=3|2>Oh...<p=0.5> Obviously...<p=0.5> For what else after all?</mirage>;
10;NOHA02_P6_DIALOGUE1;<mirage=3|2>OH !<p=0.5>  Alors vous...<p=0.5>  Vous savez...<p=0.5>  Il y a beaucoup de bruits de couloir dans ce bas monde,<p=0.25>  évidemment que tout le monde le sait....</mirage>;<mirage=3|2>OH!<p=0.5> So you...<p=0.5> You know...<p=0.5> There's a lot of hush-hush in this world,<p=0.25> obviously everyone knows....</mirage>;
11;NOHA02_P6_DIALOGUE11;<mirage=3|2> Vous semblez vraiment être quelqu'un de bien,<p=0.25>  de compréhensif...</mirage>;<mirage=3|2> You seem like a really nice person,<p=0.25> understanding...</mirage>;
12;NOHA02_P6_DIALOGUE2;<mirage=3|2>Oh !<p=0.5>  Petit ange descendu des cieux, petit don du ciel !<p=0.5>  Vous me plaisez vraiment</mirage>;"<mirage=3|2>Oh!""<p=0.5> Little angel come down from heaven, little gift from heaven!""<p=0.5> I really like you</mirage>";
13;NOHA02_P6_DIALOGUE3;<mirage=3|2>Oh !<p=0.5>  Trésor !<p=0.5>  Une fleur !<p=0.5>  J'adore les fleurs,<p=0.25>  si coquet,<p=0.25>  si parfumée,<p=0.25>  un vrai accessoire de Lady !<p=0.5>  Ca me va droit au coeur.<p=0.5>  Vous pourriez presque me séduire.</mirage>;"<mirage=3|2>Oh!""<p=0.5> Treasure!""<p=0.5> A flower!""<p=0.5> I love flowers,<p=0.25> so coquettish,<p=0.25> so fragrant,<p=0.25> a real Lady's accessory!""<p=0.5> It goes straight to my heart.<p=0.5> You could almost seduce me.</mirage>";
14;NOHA02_P6_DIALOGUE4;<mirage=3|2>Heu...<p=0.5>  Mon chou,<p=0.25>  c'est une église ici,<p=0.25>  pas Emmaüs !<p=0.5>  Mais merci pour ça...<p=0.5> Je suppose ?</mirage>;<mirage=3|2>Uh...<p=0.5> My darling,<p=0.25> this is a church,<p=0.25> not Emmaus!<p=0.5> But thanks for...<p=0.5> whatever it is...<p=0.5> I guess?</mirage>;
15;NOHA02_P6_DIALOGUE5;<mirage=3|2>Vous avez bien raison,<p=0.25>  il n y a rien a faire de mieux dans cette vielle épave en ruine après tout...</mirage>;<mirage=3|2>You're quite right,<p=0.25>there's nothing better to do in this crumbling old wreck after all...</mirage>;
16;NOHA02_P8_DIALOGUE1;<mirage=3|2>Je me sens bien quand je parle avec vous...<p=0.5>  Vous pourriez presque m'avoir trésor...<p=0.5>  Je vous plait réellement ?<p=0.5>  Malgré mon âge et mes manières ?</mirage>;<mirage=3|2>I feel good when I talk with you...<p=0.5>You could almost have me treasure...<p=0.5>Do you really like me?<p=0.5> Despite my age and manners?</mirage>;
17;NOHA02_P8_DIALOGUE2;<mirage=3|2>Non...<p=0.5>  C'est rien...<p=0.5>  Pfff...<p=0.5>  J''avais mal interprété vos avances,<p=0.25>  vous vous trémoussiez devant moi avec tellement d'insistance que la question devait bien se poser...<p=0.5>  Enfin bon.<p=0.5>  Il vous fallait autre chose ?</mirage>;<mirage=3|2>No...<p=0.5> It's nothing...<p=0.5> Pfff...<p=0.5> I'd misinterpreted your advances,<p=0.25> you were wiggling in front of me so insistently that the question had to arise...<p=0.5> Anyway.<p=0.5> You needed something else?</mirage>;
18;NOHA02_P10_DIALOGUE1;<mirage=3|2>EMBRASSEZ MOI ET FAITES MOI REVIVRE MES JEUNES ANNEES !</mirage>;<mirage=3|2>EMBRATE ME AND MAKE ME REVIVE MY YOUNG YEARS!</mirage>;
19;NOHA02_P10_DIALOGUE2;<mirage=3|2>Très bien, BONNE JOURNEE alors ! Adieu !</mirage>;<mirage=3|2>Very well, GOOD DAY then! Farewell!</mirage>;
20;NOHA02_P10_DIALOGUE3;<mirage=3|2>Oh...<p=0.5> petit coquin,<p=0.25> arrêtez vous me faites rougir.<p=0.5> La cérémonie va commencer,<p=0.25> nous en parlerons plus tard,<p=0.25> venez vous assoir près de moi</mirage>;<mirage=3|2>Oh...<p=0.5> you little rascal,<p=0.25> stop you're making me blush.<p=0.5> The ceremony is about to begin,<p=0.25> we'll talk about it later,<p=0.25> come and sit by me</mirage>;
21;NOHA02_P10_DIALOGUE4;<mirage=3|2>PETIT CONNARD !</mirage>;<mirage=3|2>LITTLE ASSHOLE!</mirage>;
22;NOHA02_P10_DIALOGUE5;<mirage=3|2>*Bisou momie*</mirage>;<mirage=3|2>*Mummy kiss*</mirage>;
